1,751
400,1022
785,833
35,335
837,1023
212,971
298,745
246,555
779,1018
58,504
144,278
154,966
591,967
589,894
16,1032
401,843
453,1033
263,909
700,910
247,376
698,837
395,1028
832,1029
109,442
197,289
205,904
7,165
53,510
504,971
540,628
139,284
941,972
316,920
751,848
350,504
448,1039
883,967
258,915
695,916
557,982
156,638
104,448
505,792
403,515
213,391
311,926
345,510
157,459
19,525
552,988
63,797
266,402
362,864
609,741
20,346
168,998
106,120
116,808
603,926
551,736
14,531
363,685
449,459
472,628
71,284
169,819
31,885
380,1039
414,623
101,126
226,572
312,346
322,1034
124,295
220,757
868,978
118,480
66,290
467,634
329,700
26,891
461,819
810,973
273,768
672,1039
484,988
570,762
518,572
382,711
426,983
863,984
228,244
324,706
38,120
136,655
134,582
170,239
347,875
42,993
565,768
726,871
776,988
91,131
588,937
187,593
223,250
434,470
33,126
342,881
428,655
188,414
50,480
148,1015
583,943
297,357
882,1010
393,819
80,322
824,1005
103,491
423,661
199,953
235,610
636,954
634,881
9,829
45,486
97,676
446,830
482,487
440,1015
252,964
200,774
250,891
286,548
635,702
687,892
62,840
98,497
497,768
194,959
6,908
56,1025
4,835
395,491
928,954
251,712
339,559
688,713
113,778
149,435
550,779
682,898
448,502
47,158
544,964
492,774
356,913
304,723
791,841
390,497
166,789
202,446
298,908
12,322
160,974
108,784
545,785
894,939
756,1005
355,661
219,800
654,728
253,384
698,1000
65,333
13,143
786,847
161,795
510,949
598,796
596,723
7,328
707,739
306,395
751,1011
649,734
248,390
24,682
60,339
860,954
459,610
804,1022
802,949
169,282
265,744
213,554
614,898
913,965
75,620
111,277
512,621
322,497
19,688
230,908
266,565
375,508
72,699
471,970
507,627
908,971
283,919
770,1037
718,847
317,503
215,226
712,1032
426,446
25,102
123,637
472,791
524,981
558,565
771,858
370,514
581,734
180,390
364,699
78,113
88,801
387,868
82,986
233,401
329,863
764,791
191,929
628,930
3,878
284,339
382,874
244,940
627,678
491,817
90,473
38,283
623,936
245,761
295,878
732,879
279,345
143,484
674,874
51,895
1023,1028
49,822
296,699
332,356
783,817
194,422
142,232
543,576
6,371
4,298
50,643
102,833
451,987
297,520
435,484
195,243
67,997
103,654
153,771
189,428
538,582
590,772
1,377
801,992
212,597
298,371
743,987
110,320
206,782
555,936
591,593
453,659
401,469
796,998
395,654
694,721
205,530
69,669
504,597
113,941
316,546
11,664
448,665
847,936
310,731
659,885
34,833
122,680
557,608
156,264
166,952
601,880
28,1018
64,675
413,829
900,947
499,603
275,895
311,552
522,772
654,891
29,839
516,957
552,614
63,423
953,958
328,906
